lane,strategy,role,leverage_multiplier,exposure_multiplier,standard_or_stress,unconditional_final_equity,stop_enforced_final_equity,stop_enforced_penalty,absolute_floor_stop_hit,trailing_drawdown_stop_hit,any_project_stop_hit,first_project_stop_date,first_project_stop_type,equity_at_first_project_stop,stop_overshoot_dollars,stop_overshoot_pct,target_300_before_stop,target_400_before_stop,max_drawdown_dollars,max_drawdown_pct,stop_enforced_metric_quality,stop_enforced_metric_source,stop_enforced_metric_notes,result_interpretation
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_25x,risk_budget_diagnostic,1.25,1.25,standard,16743.368815991344,3595.4277305232195,13147.941085468125,False,True,True,2010-05-20,trailing_drawdown,3595.4277305232195,-17.28060981374665,-0.004783283948168051,True,True,-3096.8186659304174,-0.27312326056742264,approximate,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,SPY_200d_trend_model,,1.0,1.0,stress,14996.05812201965,3424.484708189105,11571.573413830545,False,True,True,2010-06-04,trailing_drawdown,3424.484708189105,-65.48051419152716,-0.018762511950437297,True,True,-2359.180127940368,-0.22314703608429462,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_00x,risk_budget_diagnostic,1.0,1.0,stress,14996.05812201965,3424.484708189105,11571.573413830545,False,True,True,2010-06-04,trailing_drawdown,3424.484708189105,-65.48051419152716,-0.018762511950437297,True,True,-2359.180127940368,-0.22314703608429462,exact,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_05x,risk_budget_diagnostic,1.05,1.05,stress,15563.222840182932,3427.649270768041,12135.573569414892,False,True,True,2010-06-04,trailing_drawdown,3427.649270768041,-104.54176459833616,-0.02959686029198377,True,True,-2560.871181057746,-0.23369346613819647,approximate,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_10x,risk_budget_diagnostic,1.1,1.1,stress,15847.889697013108,3561.45449467156,12286.435202341549,False,True,True,2010-05-28,trailing_drawdown,3561.45449467156,-3.545131115710774,-0.0009944267848072748,True,True,-2741.2732717589715,-0.24693981634554713,approximate,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_15x,risk_budget_diagnostic,1.15,1.15,stress,15834.074149210084,3553.737217502126,12280.336931707958,False,True,True,2010-05-28,trailing_drawdown,3553.737217502126,-34.423775718696106,-0.009593709920968868,True,True,-2892.633894367862,-0.2619140607591781,approximate,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_20x,risk_budget_diagnostic,1.2,1.2,stress,15522.546778838781,3600.3035881622914,11922.24319067649,False,True,True,2010-05-27,trailing_drawdown,3600.3035881622914,-1.208394997763662,-0.00033552435849550793,True,True,-3007.9674824809426,-0.2778632017744278,approximate,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
simulated_etf_exposure_frontier,SPY_200d_exposure_frontier_1_25x,risk_budget_diagnostic,1.25,1.25,stress,14930.762128985707,3588.8132022394043,11341.948926746303,False,True,True,2010-05-20,trailing_drawdown,3588.8132022394043,-16.144995261408894,-0.004478552697948519,True,True,-3081.5900320137016,-0.2947109156775993,approximate,exposure_frontier_reconstructed_equity_curve,"Diagnostic only. Return multiplier, simplified financing, and no real margin/liquidation/path-dependency model.",Stop-enforced result is more relevant than final-date recovery.
etf_benchmark,BIL_cash_proxy,,1.0,1.0,standard,3775.5184876438425,3775.5184876438425,0.0,False,False,False,,,,0.0,0.0,True,True,-23.904374481334344,-0.007800799339397148,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,No selected project stop hit in this summary.
etf_benchmark,BIL_cash_proxy,,1.0,1.0,stress,3773.629369449123,3773.629369449123,0.0,False,False,False,,,,0.0,0.0,True,True,-23.892413689985005,-0.007800799339388498,exact,computed_from_cached_adjusted_benchmark_equity_curve,Computed by challenge audit from cached adjusted SPY/BIL prices; raw OHLCV not copied into evidence.,No selected project stop hit in this summary.
