rank_overall,rank_target_300,rank_target_400,rank_risk_control,lane,strategy,leverage_multiplier,standard_or_stress,pct_90d_target_300_before_stop,pct_90d_target_400_before_stop,pct_90d_any_stop_hit,stop_enforced_final_equity,stress_result_available,stress_degradation_pct,benchmark_relative_result,credibility_tier,audit_verdict,stop_enforced_metric_quality,benchmark_comparison_available,benchmark_comparison_notes,ranking_penalty_notes,reason
11,15,11,13,simulated_leverage_scenario,crypto_time_series_momentum,2.0,standard,0.52,0.492,0.624,5605.7279817354,True,-0.007647636471997686,2605.7279817354,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 52.0%; 90d stop hit 62.4%; 90d +400 before stop 49.2%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning,90d +300 before stop 52.0%; 90d stop hit 62.4%; 90d +400 before stop 49.2%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning
12,5,5,15,crypto_spot_momentum,BTC_buy_hold,1.0,standard,0.656,0.6,0.688,3203.1665680656724,True,-0.0018247991102849832,203.16656806567244,Tier 1 exploratory screen,exploratory_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 65.6%; 90d stop hit 68.8%; 90d +400 before stop 60.0%; Tier 1 exploratory penalty; large recovery after stop warning,90d +300 before stop 65.6%; 90d stop hit 68.8%; 90d +400 before stop 60.0%; Tier 1 exploratory penalty; large recovery after stop warning
13,3,8,16,crypto_spot_momentum,crypto_buy_hold_equal_weight,1.0,standard,0.68,0.584,0.7,2332.791886831467,True,-0.0021950031370227,-667.2081131685331,Tier 1 exploratory screen,exploratory_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 68.0%; 90d stop hit 70.0%; 90d +400 before stop 58.4%; Tier 1 exploratory penalty; large recovery after stop warning,90d +300 before stop 68.0%; 90d stop hit 70.0%; 90d +400 before stop 58.4%; Tier 1 exploratory penalty; large recovery after stop warning
14,7,2,22,simulated_leverage_scenario,ETH_buy_hold,1.5,standard,0.656,0.62,0.988,5350.308214579455,True,-0.0037045115191064177,2350.308214579455,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 65.6%; 90d stop hit 98.8%; 90d +400 before stop 62.0%; Tier 1 exploratory penalty; approximate leverage penalty,90d +300 before stop 65.6%; 90d stop hit 98.8%; 90d +400 before stop 62.0%; Tier 1 exploratory penalty; approximate leverage penalty
15,8,7,23,simulated_leverage_scenario,BTC_buy_hold,2.0,standard,0.652,0.596,1.0,3569.8225009649327,True,-0.006723802548177062,569.8225009649327,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 65.2%; 90d stop hit 100.0%; 90d +400 before stop 59.6%; Tier 1 exploratory penalty; approximate leverage penalty,90d +300 before stop 65.2%; 90d stop hit 100.0%; 90d +400 before stop 59.6%; Tier 1 exploratory penalty; approximate leverage penalty
16,17,17,9,crypto_spot_momentum,crypto_cross_sectional_momentum,1.0,standard,0.48,0.436,0.472,2349.3803323063958,True,-0.013947427023674323,-650.6196676936042,Tier 1 exploratory screen,exploratory_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 48.0%; 90d stop hit 47.2%; 90d +400 before stop 43.6%; Tier 1 exploratory penalty; large recovery after stop warning,90d +300 before stop 48.0%; 90d stop hit 47.2%; 90d +400 before stop 43.6%; Tier 1 exploratory penalty; large recovery after stop warning
17,9,9,24,simulated_leverage_scenario,ETH_buy_hold,2.0,standard,0.604,0.564,1.0,6298.698288895799,True,-0.006224782088020376,3298.698288895799,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 60.4%; 90d stop hit 100.0%; 90d +400 before stop 56.4%; Tier 1 exploratory penalty; approximate leverage penalty,90d +300 before stop 60.4%; 90d stop hit 100.0%; 90d +400 before stop 56.4%; Tier 1 exploratory penalty; approximate leverage penalty
18,13,13,10,simulated_leverage_scenario,crypto_time_series_momentum,1.5,standard,0.524,0.48,0.532,4912.532363143406,True,-0.03989443482164439,1912.5323631434057,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 52.4%; 90d stop hit 53.2%; 90d +400 before stop 48.0%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning,90d +300 before stop 52.4%; 90d stop hit 53.2%; 90d +400 before stop 48.0%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning
19,11,15,11,simulated_leverage_scenario,crypto_dual_momentum_cash_filter,1.5,standard,0.544,0.468,0.548,4917.6354212486995,True,-0.004394957315813077,1917.6354212486995,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 54.4%; 90d stop hit 54.8%; 90d +400 before stop 46.8%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning,90d +300 before stop 54.4%; 90d stop hit 54.8%; 90d +400 before stop 46.8%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning
20,4,3,19,simulated_leverage_scenario,crypto_buy_hold_equal_weight,1.5,standard,0.68,0.608,0.9,2298.0070766397916,True,-0.005196772017131118,-701.9929233602084,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 68.0%; 90d stop hit 90.0%; 90d +400 before stop 60.8%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning,90d +300 before stop 68.0%; 90d stop hit 90.0%; 90d +400 before stop 60.8%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning
21,14,12,14,simulated_leverage_scenario,crypto_dual_momentum_cash_filter,2.0,standard,0.524,0.492,0.628,5623.519967726846,True,-0.0077614157492582325,2623.5199677268456,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 52.4%; 90d stop hit 62.8%; 90d +400 before stop 49.2%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning,90d +300 before stop 52.4%; 90d stop hit 62.8%; 90d +400 before stop 49.2%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning
22,10,14,12,simulated_leverage_scenario,crypto_cross_sectional_momentum,1.5,standard,0.556,0.472,0.616,2374.148620929997,True,-0.013379097210458834,-625.8513790700031,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 55.6%; 90d stop hit 61.6%; 90d +400 before stop 47.2%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning,90d +300 before stop 55.6%; 90d stop hit 61.6%; 90d +400 before stop 47.2%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning
23,6,4,20,simulated_leverage_scenario,BTC_buy_hold,1.5,standard,0.656,0.604,0.924,3462.17330909362,True,-0.00393632567753511,462.17330909362,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 65.6%; 90d stop hit 92.4%; 90d +400 before stop 60.4%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning,90d +300 before stop 65.6%; 90d stop hit 92.4%; 90d +400 before stop 60.4%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning
24,12,10,17,simulated_leverage_scenario,crypto_cross_sectional_momentum,2.0,standard,0.54,0.508,0.756,2264.391030923097,True,-0.008534172864729983,-735.6089690769031,Tier 1 exploratory screen; approximate simulated leverage,too_risky,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",90d +300 before stop 54.0%; 90d stop hit 75.6%; 90d +400 before stop 50.8%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning,90d +300 before stop 54.0%; 90d stop hit 75.6%; 90d +400 before stop 50.8%; Tier 1 exploratory penalty; approximate leverage penalty; large recovery after stop warning
