id,version,parent_id,lane,strategy_family,status,rules_frozen,notes
SPY_200d_vol_target_12_cap_1_10_v1,v1,SPY_200d_trend_model,compact_challenge,SPY_200d volatility-control diagnostic,exploratory_only,True,Tier 1 diagnostic only; no real margin model and no paper-forward eligibility.
portfolio_spy200d_100_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,watchlist_diagnostic,True,Baseline portfolio wrapper for SPY_200d; does not alter frozen paper-forward SPY_200d v1.
portfolio_spy200d_80_bil_20_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,duplicate_or_near_duplicate,True,Fixed 80/20 defensive portfolio diagnostic; not paper-forward active.
portfolio_spy200d_70_bil_30_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,duplicate_or_near_duplicate,True,Fixed 70/30 defensive portfolio diagnostic; not paper-forward active.
portfolio_spy200d_60_ief_20_bil_20_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,too_slow,True,Fixed bond defensive portfolio diagnostic; not paper-forward active.
portfolio_spy200d_70_gld_15_bil_15_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,too_slow,True,Fixed gold defensive portfolio diagnostic; not paper-forward active.
portfolio_spy200d_60_ief_20_gld_10_bil_10_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,too_slow,True,Fixed multi-asset defensive portfolio diagnostic; not paper-forward active.
portfolio_spy200d_80_ab_20_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,incomplete_evidence,True,Fixed strategy-diversification diagnostic; does not alter frozen A/B control or SPY_200d rows.
portfolio_spy200d_70_ab_20_bil_10_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,incomplete_evidence,True,Fixed strategy-diversification diagnostic; does not alter frozen A/B control or SPY_200d rows.
portfolio_spy200d_80_crypto_tsmom_10_bil_10_v1,v1,crypto_time_series_momentum,compact_challenge,fixed_weight_portfolio,exploratory_only,True,Tier 1 exploratory only; not paper-forward ready and not a real-money recommendation.
portfolio_spy200d_70_crypto_tsmom_10_ief_10_bil_10_v1,v1,crypto_time_series_momentum,compact_challenge,fixed_weight_portfolio,exploratory_only,True,Tier 1 exploratory only; not paper-forward ready and not a real-money recommendation.
family_broad_etf_spy200d_v1,v1,SPY_200d_trend_model,compact_challenge,independent_family_challenge,benchmark_candidate,True,"Family row uses its own $3,000 account and does not alter frozen SPY_200d paper-forward rules."
family_broad_etf_spy_buy_hold_v1,v1,SPY_buy_hold,compact_challenge,independent_family_challenge,benchmark_candidate,True,Family benchmark only; not allocation advice.
family_cash_treasury_bil_v1,v1,BIL_cash_proxy,compact_challenge,independent_family_challenge,benchmark,True,"Separate $3,000 defensive family account; not a real-money recommendation."
family_bond_treasury_ief_v1,v1,,compact_challenge,independent_family_challenge,benchmark,True,Uses existing adjusted ETF cache only; no new loader.
family_gold_gld_v1,v1,,compact_challenge,independent_family_challenge,benchmark,True,Uses existing adjusted ETF cache only; no new loader.
family_etf_sector_momentum_A_v1,v1,A_ETF_sector_momentum,compact_challenge,independent_family_challenge,incomplete_evidence,True,Reported as family reference only when exact stream is unavailable.
family_etf_ab_no_cash_v1,v1,current_no_cash_proxy_alpha_AB,compact_challenge,independent_family_challenge,incomplete_evidence,True,Does not alter frozen current_no_cash_proxy_alpha_AB paper-forward control.
family_crypto_spot_time_series_momentum_v1,v1,crypto_time_series_momentum,compact_challenge,independent_family_challenge,exploratory_only,True,Optional family comparison only; no crypto leverage/perps/futures.
family_crypto_spot_buy_hold_equal_weight_v1,v1,crypto_buy_hold_equal_weight,compact_challenge,independent_family_challenge,exploratory_only,True,Optional crypto benchmark family only; no real-money recommendation.
family_individual_stock_momentum_v1,v1,individual_stock_momentum_gate1a,stock_memo,independent_family_blocked,blocked,True,Family is reported in challenge evidence but not run.
family_options_directional_v1,v1,options_directional_gate0_needed,options_memo,independent_family_blocked,blocked,True,Family is reported but not run.
family_options_premium_v1,v1,options_directional_gate0_needed,options_memo,independent_family_blocked,blocked,True,Family is reported but not run.
family_futures_trend_following_v1,v1,futures_trend_following_gate0_needed,futures_memo,independent_family_blocked,blocked,True,Family is reported but not run.
family_forex_momentum_carry_v1,v1,forex_momentum_carry_gate0_needed,forex_memo,independent_family_blocked,blocked,True,Family is reported but not run.
family_intraday_orb_v1,v1,intraday_orb_gate0_needed,intraday_memo,independent_family_blocked,blocked,True,Family is reported but not run.
family_volatility_products_v1,v1,volatility_products_gate0_needed,volatility_memo,independent_family_blocked,blocked,True,Family is reported but not run.
family_event_news_momentum_v1,v1,,archive,independent_family_blocked,blocked,True,Family is reported but not run.
A_ETF_sector_momentum,v1,current_no_cash_proxy_alpha_AB,etf_research,cross_sectional_momentum,promotion_review_passed,True,Can be studied as comparator; current paper-forward version remains frozen.
B_ETF_trend_following,v1,current_no_cash_proxy_alpha_AB,etf_research,trend_following,too_slow,True,Comparator only unless a new version is proposed.
C_swing_trend_pullback,v1,,archive,swing_pullback,rejected,True,Must not be active paper-forward.
D_mean_reversion,v1,,archive,mean_reversion,rejected,True,Must not be active paper-forward.
E_breakout_vcb,v1,,archive,breakout,rejected,True,Must not be active paper-forward.
crypto_time_series_momentum,v1,,crypto_exploratory,time_series_momentum,exploratory_only,True,Exploratory only; no real-money conclusion.
crypto_dual_momentum_cash_filter,v1,,crypto_exploratory,dual_momentum,exploratory_only,True,Exploratory only.
crypto_cross_sectional_momentum,v1,,crypto_exploratory,cross_sectional_momentum,exploratory_only,True,Exploratory only.
crypto_buy_hold_equal_weight,v1,,crypto_exploratory,buy_and_hold,exploratory_only,True,Exploratory benchmark only.
crypto_simulated_leverage_1_5x,v1,crypto_buy_hold_equal_weight,crypto_exploratory,simulated_leverage_diagnostic,too_risky,True,Diagnostic only; not a strategy candidate.
crypto_simulated_leverage_2_0x,v1,crypto_buy_hold_equal_weight,crypto_exploratory,simulated_leverage_diagnostic,too_risky,True,Diagnostic only; not a strategy candidate.
individual_stock_momentum_gate1a,gate1a,,stock_memo,individual_stock_momentum,deferred,True,Implementation remains blocked.
options_directional_gate0_needed,memo_placeholder,,options_memo,directional_options,memo_only,True,Memo-only placeholder.
futures_trend_following_gate0_needed,memo_placeholder,,futures_memo,trend_following,memo_only,True,Memo-only placeholder.
forex_momentum_carry_gate0_needed,memo_placeholder,,forex_memo,momentum_carry,memo_only,True,Memo-only placeholder.
intraday_orb_gate0_needed,memo_placeholder,,intraday_memo,opening_range_breakout,memo_only,True,Memo-only placeholder.
volatility_products_gate0_needed,memo_placeholder,,volatility_memo,volatility,memo_only,True,Memo-only placeholder.
profit_GLD_200d_trend_model_v1,v1,GLD_buy_hold,profit_exploration,absolute_trend,too_slow,True,Predeclared profit experiment using GLD 200-day SMA and BIL fallback.
profit_IEF_200d_trend_model_v1,v1,IEF_buy_hold,profit_exploration,absolute_trend,too_slow,True,Predeclared profit experiment using IEF 200-day SMA and BIL fallback.
profit_SPY_GLD_dual_momentum_v1,v1,,profit_exploration,dual_momentum,high_upside_high_risk_watchlist,True,"Independent $3,000 experiment account; not allocation advice."
profit_SPY_GLD_IEF_dual_momentum_v1,v1,,profit_exploration,dual_momentum,watchlist,True,"Independent $3,000 experiment account; not allocation advice."
profit_multi_asset_top2_momentum_v1,v1,,profit_exploration,cross_asset_momentum,watchlist,True,"Independent $3,000 experiment account; not allocation advice."
profit_GLD_SPY_rotation_v1,v1,,profit_exploration,relative_momentum_rotation,watchlist,True,"Independent $3,000 experiment account; not allocation advice."
profit_combo_SPY200d_GLD_50_50_v1,v1,SPY_200d_trend_model,profit_exploration,fixed_weight_combination,active_paper_demo_observation,True,Controlled cache update resolved the data-date blocker; combo is paper/demo only and does not replace SPY_200d. Start-date accounting audit corrected observation boundary accounting only; observation consistency audit passed; no strategy rule changed.
profit_combo_SPY200d_GLD_BIL_60_30_10_v1,v1,SPY_200d_trend_model,profit_exploration,fixed_weight_combination,watchlist,True,"Fixed combination is an independent experiment account, not allocation advice."
profit_combo_SPY200d_crypto_tsmom_90_10_v1,v1,SPY_200d_trend_model,profit_exploration,fixed_weight_combination,exploratory_only,True,Not paper-forward and not candidate-grade.
asset_class_tsmom_equal_weight_v1,v1,,profit_exploration,asset_class_time_series_momentum,exploratory_only,True,"Independent $3,000 profit exploration account; no leverage, no margin, no shorting."
asset_class_tsmom_top1_v1,v1,,profit_exploration,asset_class_time_series_momentum,exploratory_only,True,"Independent $3,000 profit exploration account; no leverage, no margin, no shorting."
asset_class_tsmom_top2_v1,v1,,profit_exploration,asset_class_time_series_momentum,exploratory_only,True,"Independent $3,000 profit exploration account; no leverage, no margin, no shorting."
dual_momentum_SPY_GLD_IEF_v1,v1,asset_class_tsmom_top1_v1,profit_exploration,dual_momentum,duplicate_skipped,True,Duplicate detection prevents this row from inflating independent evidence.
GLD_200d_trend_model_v1,v1,GLD_buy_hold,profit_exploration,absolute_trend,exploratory_only,True,Direct registry row for requested GLD trend profit experiment; existing profit_GLD row remains as prior registry naming.
qqq_spy_gld_ief_dual_momentum_v1,v1,,profit_exploration,dual_momentum,too_risky,True,"Implemented as research_sample only; no candidate-exhaustive, paper-forward observation, broker integration, or real-money recommendation is approved here."
value_momentum_factor_etf_rotation_v1,v1,,profit_exploration,factor_rotation,duplicate_or_near_duplicate,True,"Implemented as research_sample only using MTUM, VTV, QUAL, USMV, SPY, and BIL. VLUE/SPLV variants are not implemented. No candidate-exhaustive, paper-forward observation, broker integration, or real-money recommendation is approved here."
low_vol_quality_defensive_rotation_v1,v1,,strategy_candidate_queue,defensive_factor_rotation,research_queue,True,Defensive research queue item; no implementation approved.
sector_top2_momentum_simple_v1,v1,A_ETF_sector_momentum,profit_exploration,sector_momentum,watchlist,True,"Implemented as research_sample only using the fixed core-nine universe. XLC/XLRE variants are not implemented. A_ETF_sector_momentum is not modified. Research_sample verdict is watchlist, not candidate_exhaustive_queue. No paper-forward observation, broker integration, or real-money recommendation is approved here."
managed_futures_proxy_etf_trend_v1,v1,,profit_exploration,managed_futures_style_trend,too_slow,True,"Implemented as research_sample only using DBMF, KMLM, and BIL. CTA/FMF/WTMF are not implemented. No futures contract logic is added. No candidate-exhaustive, paper-forward observation, broker integration, or real-money recommendation is approved here."
combo_plus_top2_50_50_v1,v1,profit_combo_SPY200d_GLD_50_50_v1,profit_exploration,fixed_strategy_combination,duplicate_or_near_duplicate,True,"Fixed predeclared Batch 1 combination; no optimized weights, no paper-forward activation, no broker integration, and no real-money recommendation."
combo_plus_managed_futures_80_20_v1,v1,profit_combo_SPY200d_GLD_50_50_v1,profit_exploration,fixed_strategy_combination,short_history_watchlist,True,Fixed predeclared Batch 1 combination using DBMF/KMLM wrapper proxy evidence through managed_futures_proxy_etf_trend_v1; no futures contract logic is added.
top2_plus_managed_futures_80_20_v1,v1,asset_class_tsmom_top2_v1,profit_exploration,fixed_strategy_combination,short_history_watchlist,True,Fixed predeclared Batch 1 combination using DBMF/KMLM wrapper proxy evidence through managed_futures_proxy_etf_trend_v1; no futures contract logic is added.
treasury_duration_trend_rotation_v1,v1,IEF_buy_hold,strategy_candidate_queue,bond_trend_rotation,research_queue,True,Defensive bond ETF queue item only.
commodity_basket_etf_momentum_v1,v1,GLD_buy_hold,strategy_candidate_queue,commodity_momentum,fast_exploratory_screen_completed,True,"Family umbrella only. The concrete fast exploratory screen is commodity_basket_tsmom_top2_v1. Evidence remains research-only and wrapper-based, not direct futures strategy evidence."
commodity_basket_tsmom_top2_v1,v1,commodity_basket_etf_momentum_v1,profit_exploration,commodity_wrapper_time_series_momentum,research_sample_candidate_risk_budget_breach,True,"Exactly one fast exploratory commodity wrapper rule. Verdict corrected to research_sample_candidate_risk_budget_breach because the base screen showed target power but breached the -600 drawdown budget. Labels: exploratory_public_data, commodity_wrapper_evidence_research_sample_only, not_validated, not_paper_forward, not_real_money."
commodity_basket_tsmom_top2_200d_filter_v1,v1,commodity_basket_etf_momentum_v1,profit_exploration,commodity_wrapper_time_series_momentum,filter_ineffective_or_bug_review,True,"Commodity Risk-Control Batch 1 verdict audit row only. Audited verdict: filter_ineffective_or_bug_review. No futures contract logic, leverage, margin, shorting, broker integration, or paper-forward activation."
commodity_basket_tsmom_top2_half_bil_v1,v1,commodity_basket_etf_momentum_v1,profit_exploration,fixed_strategy_combination,too_slow_defensive_watchlist,True,"Commodity Risk-Control Batch 1 verdict audit row only. Audited verdict: too_slow_defensive_watchlist. No optimized weights, futures contract logic, or paper-forward activation."
combo_plus_commodity_basket_80_20_v1,v1,commodity_basket_etf_momentum_v1,profit_exploration,fixed_strategy_combination,watchlist,True,Historical-only risk-control blend. Diagnostics completion decision: diagnostics_support_watchlist_only_for_combo_plus_commodity_80_20. It does not change the active combo_SPY200d_GLD_50_50_v1 paper/demo observation.
crypto_spot_tsmom_tier2_review_v1,v1,crypto_time_series_momentum,strategy_candidate_queue,crypto_spot_trend,data_gated,True,"No crypto changes, leverage, perps, futures, margin, or broker/exchange work in this task."
crypto_spot_tsmom_top1_cash_filter_v1,v1,crypto_spot_tsmom_tier2_review_v1,profit_exploration,crypto_spot_trend,watchlist,True,"BTC/ETH spot-only exploratory row; no leverage, margin, shorting, futures, perpetuals, options, broker integration, live orders, or real-money recommendation."
crypto_spot_equal_weight_200d_filter_v1,v1,crypto_spot_tsmom_tier2_review_v1,profit_exploration,crypto_spot_trend,high_upside_high_risk_watchlist,True,"BTC/ETH spot-only exploratory row; no leverage, margin, shorting, futures, perpetuals, options, broker integration, live orders, or real-money recommendation."
combo_plus_crypto_spot_tsmom_90_10_v1,v1,crypto_spot_tsmom_tier2_review_v1,profit_exploration,fixed_strategy_combination,research_sample_candidate,True,Historical-only 90/10 combo-plus-crypto row. It does not change the active combo_SPY200d_GLD_50_50_v1 paper/demo observation.
global_multi_asset_tsmom_top2_v1,v1,global_multi_asset_fast_exploration_batch1,profit_exploration,global_multi_asset_etf_momentum,research_sample_candidate_risk_budget_breach,True,"Fixed global multi-asset top2 ETF/fund wrapper row using SPY, QQQ, IWM, EFA, EEM, IEF, TLT, GLD, PDBC, COMT, and BIL fallback. No leverage, margin, shorting, futures, options, forex, intraday logic, broker integration, live orders, or real-money recommendation."
global_multi_asset_tsmom_top2_defensive_50_v1,v1,global_multi_asset_fast_exploration_batch1,profit_exploration,global_multi_asset_etf_momentum,watchlist,True,"Fixed 50% global multi-asset top2 and 50% BIL row. No optimized weights, no leverage, margin, shorting, futures, options, forex, intraday logic, broker integration, live orders, or real-money recommendation."
combo_plus_global_multi_asset_80_20_v1,v1,global_multi_asset_fast_exploration_batch1,profit_exploration,fixed_strategy_combination,watchlist,True,Historical-only 80% combo and 20% global multi-asset sleeve. It does not change the active combo_SPY200d_GLD_50_50_v1 paper/demo observation or replace SPY_200d.
individual_stock_momentum_gate1b_v1,v1,individual_stock_momentum_gate1a,strategy_candidate_queue,individual_stock_momentum,conditional_pending_package_and_terms_selection,True,"Research-only Gate 1F Sharadar fallback review only. Norgate remains blocked for no local access; Sharadar is plausible but still pending package and terms selection. Current-ticker yfinance stock momentum is toy-only, not serious evidence. No provider calls, API keys, secrets, stock data loader, stock strategy, broker integration, live orders, or real-money recommendation are approved."
options_futures_forex_intraday_blocked_reference_v1,v1,,strategy_candidate_queue,multi_blocked_reference,reject_for_now,True,Blocked reference only; no high-complexity instrument implementation is approved.
paper_forward_vm_quality_lowvol_proxy_v1,v1,,paper_forward,volatility_managed_equity_etf,active_paper_demo_observation,True,"Recovered state row; no broker integration, live orders, or real-money recommendation."
paper_forward_dsr_sector_equal_weight_defensive_filter_v1,v1,,paper_forward,defensive_sector_rotation_etf,active_paper_demo_observation,True,"Recovered state row; no broker integration, live orders, or real-money recommendation."
dsr_sector_top3_momentum_defensive_cash_v1,v1,,profit_exploration,defensive_sector_rotation_etf,deferred_candidate_queue,True,"Recovered state row; no broker integration, live orders, or real-money recommendation. Roadmap priority recorded; planning-only, no new strategy test."
gror_balanced_momentum_60_40_v1,v1,,profit_exploration,global_risk_on_risk_off_etf,watchlist,True,"Recovered state row; no broker integration, live orders, or real-money recommendation."
quality_momentum_etf_proxy,v1,,profit_exploration,quality_momentum_etf_proxy,watchlist_no_more_rescue_now,True,"Recovered state row; no broker integration, live orders, or real-money recommendation. Roadmap priority recorded; planning-only, no new strategy test."
quality_momentum_etf_proxy_risk_control_batch_1,v1,,profit_exploration,quality_momentum_etf_proxy,watchlist_family,True,"Recovered state row; no broker integration, live orders, or real-money recommendation."
volatility_managed_equity_etf,v1,,profit_exploration,volatility_managed_equity_etf,active_observation_running,True,"Recovered state row; no broker integration, live orders, or real-money recommendation."
defensive_sector_rotation_etf,v1,,profit_exploration,defensive_sector_rotation_etf,active_observation_running,True,"Recovered state row; no broker integration, live orders, or real-money recommendation."
global_risk_on_risk_off_etf,v1,,profit_exploration,global_risk_on_risk_off_etf,promotion_candidate_found,True,"Recovered state row; no broker integration, live orders, or real-money recommendation."
managed_futures_etf_wrapper,v1,,profit_exploration,managed_futures_etf_wrapper,watchlist_family,True,"ETF/fund-wrapper only. No direct futures trading, broker path, or real-money recommendation."
commodity_wrapper,v1,,profit_exploration,commodity_wrapper,deferred,True,"Recovered state row; no broker integration, live orders, or real-money recommendation. Roadmap priority recorded; planning-only, no new strategy test."
crypto_spot,v1,,profit_exploration,crypto_spot,deferred,True,"Recovered state row; no broker integration, live orders, or real-money recommendation. Roadmap priority recorded; planning-only, no new strategy test."
individual_stock_momentum,v1,,profit_exploration,individual_stock_momentum,blocked_or_deferred,True,"Recovered state row; no broker integration, live orders, or real-money recommendation. Roadmap priority recorded; planning-only, no new strategy test."
dsr_sector_top2_momentum_200d_bil_v1,v1,,profit_exploration,defensive_sector_rotation_etf,future_review_candidate,True,"Recovered state row; no broker integration, live orders, or real-money recommendation. Roadmap priority recorded; planning-only, no new strategy test."
dual_momentum_paa_etf_wrapper,v1,,profit_exploration,dual_momentum_paa_etf_wrapper,watchlist_family,True,"ETF/fund-wrapper only. No direct futures, leverage, shorting, broker path, or real-money recommendation."
gtaa_faber_style_benchmark_lane,v1,,profit_exploration,gtaa_faber_style_benchmark_lane,future_benchmark_family,True,"Research roadmap backlog row. ETF/fund-wrapper only where applicable. Roadmap priority recorded; planning-only, no new strategy test."
static_all_weather_or_permanent_portfolio_benchmark,v1,,profit_exploration,static_all_weather_or_permanent_portfolio_benchmark,future_benchmark_or_control,True,"Research roadmap backlog row. ETF/fund-wrapper only where applicable. Roadmap priority recorded; planning-only, no new strategy test."
mf_wrapper_top1_trend_v1,v1,managed_futures_etf_wrapper,profit_exploration,managed_futures_etf_wrapper,watchlist,True,Exploratory non-final research_sample only.
mf_wrapper_top2_risk_adjusted_v1,v1,managed_futures_etf_wrapper,profit_exploration,managed_futures_etf_wrapper,watchlist,True,Exploratory non-final research_sample only.
mf_wrapper_plus_spy_70_30_v1,v1,managed_futures_etf_wrapper,profit_exploration,managed_futures_etf_wrapper,duplicate_or_near_duplicate,True,Exploratory non-final research_sample only.
mf_wrapper_defensive_cash_switch_v1,v1,managed_futures_etf_wrapper,profit_exploration,managed_futures_etf_wrapper,watchlist,True,Exploratory non-final research_sample only.
mf_wrapper_plus_dsr_vm_combo_proxy_v1,v1,managed_futures_etf_wrapper,profit_exploration,managed_futures_etf_wrapper,evidence_missing,True,Exploratory non-final research_sample only.
dm_global_dual_momentum_top1_v1,v1,dual_momentum_paa_etf_wrapper,profit_exploration,dual_momentum_paa_etf_wrapper,too_risky,True,Exploratory non-final research_sample only.
dm_multi_asset_top2_absolute_momentum_v1,v1,dual_momentum_paa_etf_wrapper,profit_exploration,dual_momentum_paa_etf_wrapper,too_risky,True,Exploratory non-final research_sample only.
dm_protective_canary_bil_v1,v1,dual_momentum_paa_etf_wrapper,profit_exploration,dual_momentum_paa_etf_wrapper,too_risky,True,Exploratory non-final research_sample only.
dm_balanced_offensive_defensive_v1,v1,dual_momentum_paa_etf_wrapper,profit_exploration,dual_momentum_paa_etf_wrapper,watchlist,True,Exploratory non-final research_sample only.
dm_paa_breadth_protection_v1,v1,dual_momentum_paa_etf_wrapper,profit_exploration,dual_momentum_paa_etf_wrapper,watchlist,True,Exploratory non-final research_sample only.
