strategy,slippage_label,horizon,credibility_tier,final_validation,candidate_validation,paper_forward_ready,sampled_results_are_final,number_of_windows,mean_final_equity,median_final_equity,pct_windows_target_300_hit,pct_windows_target_300_before_stop,pct_windows_target_400_hit,pct_windows_target_400_before_stop,pct_windows_any_project_stop_hit,median_max_drawdown_pct,worst_max_drawdown_pct,median_rebalances,pct_windows_positive_return,pct_windows_below_2400,pct_windows_above_3300,pct_windows_above_3400
crypto_buy_hold_equal_weight,stress,180,Tier 1 exploratory screen,False,False,False,False,250,4014.029732383182,3628.7597912159326,0.732,0.648,0.648,0.536,0.992,-0.3911609758026602,-0.7354953837127246,1.0,0.568,0.284,0.544,0.532
crypto_cross_sectional_momentum,standard,30,Tier 1 exploratory screen,False,False,False,False,250,3175.988637368273,3000.0,0.32,0.32,0.296,0.292,0.108,-0.06131721974779589,-0.5900293811599054,1.0,0.368,0.016,0.268,0.256
crypto_cross_sectional_momentum,standard,60,Tier 1 exploratory screen,False,False,False,False,250,3229.1584968379466,3000.0,0.412,0.404,0.376,0.364,0.28,-0.12627624117193142,-0.6047142675067181,1.0,0.38,0.052,0.324,0.308
crypto_cross_sectional_momentum,standard,90,Tier 1 exploratory screen,False,False,False,False,250,3410.9484616757827,3000.0,0.492,0.48,0.468,0.436,0.472,-0.14519927563919457,-0.6047142675067181,2.0,0.452,0.08,0.38,0.324
crypto_cross_sectional_momentum,standard,180,Tier 1 exploratory screen,False,False,False,False,250,4112.96565791932,3348.926720756627,0.636,0.604,0.612,0.536,0.744,-0.2668539665408016,-0.6405730186573844,4.0,0.548,0.132,0.504,0.496
crypto_cross_sectional_momentum,stress,30,Tier 1 exploratory screen,False,False,False,False,250,3169.7816260529094,3000.0,0.32,0.32,0.288,0.284,0.108,-0.06272540104680274,-0.590876592035273,1.0,0.364,0.016,0.268,0.256
crypto_cross_sectional_momentum,stress,60,Tier 1 exploratory screen,False,False,False,False,250,3218.0651879579127,3000.0,0.404,0.396,0.364,0.352,0.28,-0.1270466752105036,-0.6047142675067183,1.0,0.376,0.06,0.32,0.304
crypto_cross_sectional_momentum,stress,90,Tier 1 exploratory screen,False,False,False,False,250,3394.0772824705778,3000.0,0.488,0.468,0.452,0.42,0.48,-0.14849973623832907,-0.6047142675067183,2.0,0.444,0.1,0.372,0.312
crypto_cross_sectional_momentum,stress,180,Tier 1 exploratory screen,False,False,False,False,250,4074.551213506326,3318.9281194546643,0.636,0.568,0.604,0.5,0.756,-0.2718597820434686,-0.6435163122286472,4.0,0.54,0.136,0.504,0.48
crypto_dual_momentum_cash_filter,standard,30,Tier 1 exploratory screen,False,False,False,False,250,3140.071868750279,3000.0,0.244,0.244,0.224,0.22,0.092,-0.04070692894691852,-0.5900293811599054,1.0,0.34,0.008,0.204,0.196
crypto_dual_momentum_cash_filter,standard,60,Tier 1 exploratory screen,False,False,False,False,250,3173.8288726359565,3000.0,0.4,0.396,0.364,0.356,0.236,-0.11382581861755364,-0.6047142675067183,1.0,0.376,0.04,0.2,0.18
crypto_dual_momentum_cash_filter,standard,90,Tier 1 exploratory screen,False,False,False,False,250,3359.1025909597597,3000.0,0.484,0.476,0.456,0.432,0.392,-0.12854520662071472,-0.6047142675067183,1.0,0.42,0.06,0.256,0.24
crypto_dual_momentum_cash_filter,standard,180,Tier 1 exploratory screen,False,False,False,False,250,4035.135800316128,3243.808887456861,0.632,0.6,0.608,0.536,0.688,-0.22349420415595217,-0.6405730186573844,2.0,0.548,0.08,0.496,0.492
crypto_dual_momentum_cash_filter,stress,30,Tier 1 exploratory screen,False,False,False,False,250,3135.4351690508033,3000.0,0.244,0.244,0.216,0.212,0.092,-0.04099523811846939,-0.590876592035273,1.0,0.332,0.008,0.204,0.196
crypto_dual_momentum_cash_filter,stress,60,Tier 1 exploratory screen,False,False,False,False,250,3165.52121595689,3000.0,0.392,0.388,0.356,0.348,0.236,-0.1138258186175537,-0.6047142675067182,1.0,0.368,0.048,0.196,0.176
crypto_dual_momentum_cash_filter,stress,90,Tier 1 exploratory screen,False,False,False,False,250,3346.190984781799,3000.0,0.484,0.468,0.448,0.424,0.424,-0.12866483041325566,-0.6047142675067182,1.0,0.396,0.076,0.256,0.24
crypto_dual_momentum_cash_filter,stress,180,Tier 1 exploratory screen,False,False,False,False,250,4004.9121256796607,3223.949640908266,0.628,0.564,0.6,0.524,0.688,-0.22359341484528072,-0.6435163122286472,2.0,0.544,0.088,0.496,0.488
crypto_time_series_momentum,standard,30,Tier 1 exploratory screen,False,False,False,False,250,3115.1147063075073,3000.0,0.232,0.232,0.2,0.2,0.056,-0.03860213642220068,-0.5744474538291946,1.0,0.316,0.012,0.188,0.176
crypto_time_series_momentum,standard,60,Tier 1 exploratory screen,False,False,False,False,250,3146.12378093984,3000.0,0.392,0.392,0.368,0.364,0.192,-0.09467980730481708,-0.5895632361282978,1.0,0.384,0.04,0.184,0.16
crypto_time_series_momentum,standard,90,Tier 1 exploratory screen,False,False,False,False,250,3320.4434543229977,3000.0,0.484,0.48,0.444,0.44,0.332,-0.13161957862697182,-0.5895632361282978,1.0,0.436,0.08,0.244,0.24
crypto_time_series_momentum,standard,180,Tier 1 exploratory screen,False,False,False,False,250,3911.2888891871125,3054.7913054300116,0.628,0.596,0.592,0.564,0.664,-0.22586932046818123,-0.6248228050143988,3.0,0.524,0.096,0.464,0.44
crypto_time_series_momentum,stress,30,Tier 1 exploratory screen,False,False,False,False,250,3110.384448877311,3000.0,0.232,0.232,0.2,0.2,0.056,-0.03967551328700142,-0.5761326458138089,1.0,0.312,0.012,0.188,0.176
crypto_time_series_momentum,stress,60,Tier 1 exploratory screen,False,False,False,False,250,3138.5590119191143,3000.0,0.392,0.392,0.368,0.364,0.188,-0.09467980730481697,-0.5903435553620295,1.0,0.38,0.04,0.18,0.16
crypto_time_series_momentum,stress,90,Tier 1 exploratory screen,False,False,False,False,250,3309.68572231152,3000.0,0.484,0.48,0.436,0.432,0.384,-0.13394809875724817,-0.5903435553620295,1.0,0.428,0.084,0.244,0.232
crypto_time_series_momentum,stress,180,Tier 1 exploratory screen,False,False,False,False,250,3891.837828572811,3025.0809470418817,0.628,0.596,0.592,0.564,0.668,-0.22586932046818115,-0.6279468906389197,3.0,0.512,0.096,0.464,0.44
