reference_month,publication_status,bls_release_date,bls_release_time_et,signal_available_timestamp,source_effective_after_close_date,release_source,release_source_locator,release_artifact_hash,cpi_all_items_nsa_level_as_published,prior_year_cpi_level,prior_year_level_source,canonical_cpi_yoy_unrounded,canonical_regime,bls_published_rounded_yoy,bls_published_rounded_regime,rounded_vs_unrounded_regime_disagreement,rebalance_event,point_in_time_safe,signal_contract_version,source_resolution_status,allocation_persistence_rule,forward_fill_used,interpolation_used,imputation_used,parent_dataset_id,parent_dataset_hash
2006-05,published_official_CPI_release,2006-06-14,,2006-06-14,2006-06-15,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_06142006.txt,sha256:a5e4d80239acf20df83c3696adaa506feef9c18f4341c26d586f1ebace7d6019,202.5,194.4,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.166666666667,high,4.2,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-06,published_official_CPI_release,2006-07-19,,2006-07-19,2006-07-20,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_07192006.txt,sha256:711417c3f4cd86bd049082cc385c58bbb27f086325cdbdaa1e4d61e0194ca5cd,202.9,194.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.318766066838,high,4.3,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-07,published_official_CPI_release,2006-08-16,,2006-08-16,2006-08-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_08162006.txt,sha256:8250d4dc66154b9a107fb7aa2d6c6a9603479c62eb9ea6baa7f861c1bc3f7ac0,203.5,195.4,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.145342886387,high,4.1,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-08,published_official_CPI_release,2006-09-15,,2006-09-15,2006-09-18,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_09152006.txt,sha256:b5e90ac01981deb868f0c33ef0584dabaf05947f39961f652918cdadea326d54,203.9,196.4,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.818737270876,high,3.8,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-09,published_official_CPI_release,2006-10-18,,2006-10-18,2006-10-19,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_10182006.txt,sha256:3305058629213b5b42eca2dda0d54f7f2c301ec010ae8519f86c8e24cb77599a,202.9,198.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.062374245473,medium,2.1,medium,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-10,published_official_CPI_release,2006-11-16,,2006-11-16,2006-11-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_11162006.txt,sha256:7d993643a32b4e6a512d590315ae3d5a57ac5a1c08450d94f2c6216fb5de0cec,201.8,199.2,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,1.305220883534,low,1.3,low,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-11,published_official_CPI_release,2006-12-15,,2006-12-15,2006-12-18,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_12152006.txt,sha256:cbfbebc7b89f6b3f7b54d8e4364cc9b1c1bd0e7918cc8d713037369782f3f137,201.5,197.6,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,1.973684210526,medium,2.0,medium,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2006-12,published_official_CPI_release,2007-01-18,,2007-01-18,2007-01-19,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_01182007.txt,sha256:7e278395e1e59a2a29c4822756eb8d8795ffdb698712e517e4eafad563f7a998,201.8,196.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.540650406504,high,2.5,medium,true,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-01,published_official_CPI_release,2007-02-21,,2007-02-21,2007-02-22,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_02212007.txt,sha256:1ee8530950f6bb6c2315ba7dac61acc880d6bf52e8ff1d6fffc72889365627ca,202.416,198.3,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.075642965204,medium,2.1,medium,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-02,published_official_CPI_release,2007-03-16,,2007-03-16,2007-03-19,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_03162007.txt,sha256:7bb824f764d0457d414e54cc13f56901646e90daf6b1159a1240b93dc93239f9,203.499,198.7,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.415198792149,medium,2.4,medium,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-03,published_official_CPI_release,2007-04-17,,2007-04-17,2007-04-18,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_04172007.txt,sha256:66338b54fad7ab68e59f28ac798caa05ff417081baa23ae56e60649f4b3d3184,205.352,199.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.778778778779,high,2.8,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-04,published_official_CPI_release,2007-05-15,,2007-05-15,2007-05-16,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_05152007.txt,sha256:ace4e65d44a990c846aa072fa020c9ff58f60e23fd42a60ed1f19954d5da76ca,206.686,201.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.573697270471,high,2.6,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-05,published_official_CPI_release,2007-06-15,,2007-06-15,2007-06-18,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_06152007.txt,sha256:cf71864e626fd05602b7f054921816aaa7862edb5e923faf1529a883e438bc21,207.949,202.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.690864197531,high,2.7,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-06,published_official_CPI_release,2007-07-18,,2007-07-18,2007-07-19,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_07182007.txt,sha256:b87aafa9797180e6a2d82b3d5bc17e8262d8baf619ff7531fe3e7f995f9d907b,208.352,202.9,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.687037949729,high,2.7,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-07,published_official_CPI_release,2007-08-15,,2007-08-15,2007-08-16,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_08152007.txt,sha256:84bfb48e9f8c43cb25bca4e9e8fffd352b7e41f085fed283941c8af7647ff6d6,208.299,203.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.358230958231,medium,2.4,medium,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-08,published_official_CPI_release,2007-09-19,,2007-09-19,2007-09-20,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_09192007.txt,sha256:b0b6abda9d213600e2b0e1d3e057ce2eaa25f1b54f8ed132c8c2736caf8d32f7,207.917,203.9,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,1.970083374203,medium,2.0,medium,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-09,published_official_CPI_release,2007-10-17,,2007-10-17,2007-10-18,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_10172007.txt,sha256:360318e807e607bda2a6aeb49190161be181e90f167df1897902f2320ca5a8d6,208.490,202.9,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.755051749630,high,2.8,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-10,published_official_CPI_release,2007-11-15,,2007-11-15,2007-11-16,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_11152007.txt,sha256:c530f8acceadca8657404e46a34562a2f692aaad265f7782920d262e67c1a6bc,208.936,201.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.536174430129,high,3.5,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-11,published_official_CPI_release,2007-12-14,,2007-12-14,2007-12-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_12142007.txt,sha256:1209024db5922f6fb00b27bfb949aecf96aab7652e944ec2807388ad762fe9f5,210.177,201.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.306203473945,high,4.3,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2007-12,published_official_CPI_release,2008-01-16,,2008-01-16,2008-01-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_01162008.txt,sha256:1c0106ef20307e615d16a1f224bffe0eb63c869ca3670b1f1448fe744014e45d,210.036,201.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.081268582755,high,4.1,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2008-01,published_official_CPI_release,2008-02-20,08:30:00 America/New_York,2008-02-20T08:30:00-05:00,2008-02-21,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_02202008.htm,843a56d4b79a6d108a0556b029e33a32a9a665caee183fd87b697fd3e51f47ac,211.080,202.416,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,4.280294047901,high,4.3,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2008-02,published_official_CPI_release,2008-03-14,08:30:00 America/New_York,2008-03-14T08:30:00-04:00,2008-03-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_03142008.htm,34102bd69e5e703b9e4859e3e32fee30e5cdf1decb5bcb25cbb65dcb6a78cbd1,211.693,203.499,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,4.026555413049,high,4.0,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2008-03,published_official_CPI_release,2008-04-16,08:30:00 America/New_York,2008-04-16T08:30:00-04:00,2008-04-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_04162008.htm,b49a7c273005a2c49294cfe65982053351884a148626d42cd413b3fae4e70398,213.528,205.352,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,3.981456231252,high,4.0,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2008-04,published_official_CPI_release,2008-05-14,08:30:00 America/New_York,2008-05-14T08:30:00-04:00,2008-05-15,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_05142008.htm,dac3aa35a7aaa27cdf6e3f336b41dabdbb1b1decc9f9812279a8c1fcff14d33b,214.823,206.686,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,3.936889774828,high,3.9,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2008-05,published_official_CPI_release,2008-06-13,08:30:00 America/New_York,2008-06-13T08:30:00-04:00,2008-06-16,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_06132008.htm,a0ceb0458504489008302dda6d12e48267cfebdb6f78fcbc84383085b225df6e,216.632,207.949,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,4.175543041804,high,4.2,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2008-06,published_official_CPI_release,2008-07-16,08:30:00 America/New_York,2008-07-16T08:30:00-04:00,2008-07-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_07162008.htm,5df72afff3ab0521cb854357337e11fc9f519e17895ee2c2d480f2cc66ac65d9,218.815,208.352,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,5.021790047612,high,5.0,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2008-07,published_official_CPI_release,2008-08-14,08:30:00 America/New_York,2008-08-14T08:30:00-04:00,2008-08-15,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_08142008.htm,a2684fded23f91f71e1619014c9f9d56998d7b94bb38e8e5bf23a9d974075a29,219.964,208.299,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,5.600122900254,high,5.6,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2008-08,published_official_CPI_release,2008-09-16,08:30:00 America/New_York,2008-09-16T08:30:00-04:00,2008-09-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_09162008.htm,775e70e4bf1396cf14c356bde65c0929c5bcf5e5129e4cd669eff11269985cf3,219.086,207.917,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,5.371855115262,high,5.4,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
2008-09,published_official_CPI_release,2008-10-16,08:30:00 America/New_York,2008-10-16T08:30:00-04:00,2008-10-17,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_10162008.htm,35895a6e781bf8b479d48612130222b8ea2ca221614a53aa171f692cc67bc800,218.783,208.490,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,4.936927430572,high,4.9,high,false,true,true,cpi_yoy_unrounded_from_point_in_time_CPIAUCNS_levels_v2,direction_owner_source_supported_portability_interpretation,not_applicable_release_event_exists,false,false,false,phase2_public_cpi_point_in_time_v1,sha256:cac4891195e4c3054de4b680b7ddab7123dafefe25926040b4fbd32a3ee85d7e
