reference_month,bls_release_date,bls_release_time_et,release_source,release_source_locator,release_artifact_hash,cpi_all_items_nsa_level_as_published,cpi_yoy_percent_as_published,published_yoy_source,alfred_vintage_date,alfred_current_month_level_as_of_release,alfred_prior_year_level_as_of_release,bls_prior_year_level_available_as_of_release,prior_year_level_source,computed_yoy_from_same_vintage,published_vs_computed_difference,signal_regime,computed_unrounded_regime,signal_available_timestamp,next_business_day_after_release,source_effective_after_close_date,source_reconciliation_status,threshold_rounding_status,point_in_time_safe,forward_fill_used,interpolation_used,current_revised_history_used
2006-07,2006-08-16,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_08162006.txt,sha256:8250d4dc66154b9a107fb7aa2d6c6a9603479c62eb9ea6baa7f861c1bc3f7ac0,203.5,4.1,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,195.4,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.145342886387,-0.045342886387,high,high,2006-08-16,2006-08-17,2006-08-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-08,2006-09-15,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_09152006.txt,sha256:b5e90ac01981deb868f0c33ef0584dabaf05947f39961f652918cdadea326d54,203.9,3.8,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,196.4,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.818737270876,-0.018737270876,high,high,2006-09-15,2006-09-18,2006-09-18,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-09,2006-10-18,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_10182006.txt,sha256:3305058629213b5b42eca2dda0d54f7f2c301ec010ae8519f86c8e24cb77599a,202.9,2.1,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,198.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.062374245473,0.037625754527,medium,medium,2006-10-18,2006-10-19,2006-10-19,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-10,2006-11-16,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_11162006.txt,sha256:7d993643a32b4e6a512d590315ae3d5a57ac5a1c08450d94f2c6216fb5de0cec,201.8,1.3,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,199.2,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,1.305220883534,-0.005220883534,low,low,2006-11-16,2006-11-17,2006-11-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-11,2006-12-15,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_12152006.txt,sha256:cbfbebc7b89f6b3f7b54d8e4364cc9b1c1bd0e7918cc8d713037369782f3f137,201.5,2.0,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,197.6,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,1.973684210526,0.026315789474,medium,medium,2006-12-15,2006-12-18,2006-12-18,rounding_only_difference,audited_no_regime_change,true,false,false,false
2006-12,2007-01-18,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_01182007.txt,sha256:7e278395e1e59a2a29c4822756eb8d8795ffdb698712e517e4eafad563f7a998,201.8,2.5,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,196.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.540650406504,-0.040650406504,medium,high,2007-01-18,2007-01-19,2007-01-19,rounding_only_difference,threshold_rounding_requires_source_decision,true,false,false,false
2007-01,2007-02-21,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_02212007.txt,sha256:1ee8530950f6bb6c2315ba7dac61acc880d6bf52e8ff1d6fffc72889365627ca,202.416,2.1,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,198.3,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.075642965204,0.024357034796,medium,medium,2007-02-21,2007-02-22,2007-02-22,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-02,2007-03-16,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_03162007.txt,sha256:7bb824f764d0457d414e54cc13f56901646e90daf6b1159a1240b93dc93239f9,203.499,2.4,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,198.7,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.415198792149,-0.015198792149,medium,medium,2007-03-16,2007-03-19,2007-03-19,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-03,2007-04-17,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_04172007.txt,sha256:66338b54fad7ab68e59f28ac798caa05ff417081baa23ae56e60649f4b3d3184,205.352,2.8,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,199.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.778778778779,0.021221221221,high,high,2007-04-17,2007-04-18,2007-04-18,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-04,2007-05-15,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_05152007.txt,sha256:ace4e65d44a990c846aa072fa020c9ff58f60e23fd42a60ed1f19954d5da76ca,206.686,2.6,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,201.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.573697270471,0.026302729529,high,high,2007-05-15,2007-05-16,2007-05-16,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-05,2007-06-15,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_06152007.txt,sha256:cf71864e626fd05602b7f054921816aaa7862edb5e923faf1529a883e438bc21,207.949,2.7,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,202.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.690864197531,0.009135802469,high,high,2007-06-15,2007-06-18,2007-06-18,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-06,2007-07-18,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_07182007.txt,sha256:b87aafa9797180e6a2d82b3d5bc17e8262d8baf619ff7531fe3e7f995f9d907b,208.352,2.7,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,202.9,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.687037949729,0.012962050271,high,high,2007-07-18,2007-07-19,2007-07-19,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-07,2007-08-15,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_08152007.txt,sha256:84bfb48e9f8c43cb25bca4e9e8fffd352b7e41f085fed283941c8af7647ff6d6,208.299,2.4,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,203.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.358230958231,0.041769041769,medium,medium,2007-08-15,2007-08-16,2007-08-16,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-08,2007-09-19,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_09192007.txt,sha256:b0b6abda9d213600e2b0e1d3e057ce2eaa25f1b54f8ed132c8c2736caf8d32f7,207.917,2.0,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,203.9,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,1.970083374203,0.029916625797,medium,medium,2007-09-19,2007-09-20,2007-09-20,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-09,2007-10-17,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_10172007.txt,sha256:360318e807e607bda2a6aeb49190161be181e90f167df1897902f2320ca5a8d6,208.490,2.8,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,202.9,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,2.755051749630,0.044948250370,high,high,2007-10-17,2007-10-18,2007-10-18,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-10,2007-11-15,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_11152007.txt,sha256:c530f8acceadca8657404e46a34562a2f692aaad265f7782920d262e67c1a6bc,208.936,3.5,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,201.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,3.536174430129,-0.036174430129,high,high,2007-11-15,2007-11-16,2007-11-16,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-11,2007-12-14,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_12142007.txt,sha256:1209024db5922f6fb00b27bfb949aecf96aab7652e944ec2807388ad762fe9f5,210.177,4.3,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,201.5,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.306203473945,-0.006203473945,high,high,2007-12-14,2007-12-17,2007-12-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2007-12,2008-01-16,,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/history/cpi_01162008.txt,sha256:1c0106ef20307e615d16a1f224bffe0eb63c869ca3670b1f1448fe744014e45d,210.036,4.1,computed_at_BLS_published_precision_from_official_final_NSA_levels,,,,201.8,BLS_public_data_API_final_NSA_prior_year_level_as_of_archive_release,4.081268582755,0.018731417245,high,high,2008-01-16,2008-01-17,2008-01-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-01,2008-02-20,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_02202008.htm,843a56d4b79a6d108a0556b029e33a32a9a665caee183fd87b697fd3e51f47ac,211.080,4.3,direct_BLS_archived_release_table,,,,202.416,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,4.280294047901,0.019705952099,high,high,2008-02-20T08:30:00-05:00,2008-02-21,2008-02-21,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-02,2008-03-14,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_03142008.htm,34102bd69e5e703b9e4859e3e32fee30e5cdf1decb5bcb25cbb65dcb6a78cbd1,211.693,4.0,direct_BLS_archived_release_table,,,,203.499,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,4.026555413049,-0.026555413049,high,high,2008-03-14T08:30:00-04:00,2008-03-17,2008-03-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-03,2008-04-16,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_04162008.htm,b49a7c273005a2c49294cfe65982053351884a148626d42cd413b3fae4e70398,213.528,4.0,direct_BLS_archived_release_table,,,,205.352,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,3.981456231252,0.018543768748,high,high,2008-04-16T08:30:00-04:00,2008-04-17,2008-04-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-04,2008-05-14,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_05142008.htm,dac3aa35a7aaa27cdf6e3f336b41dabdbb1b1decc9f9812279a8c1fcff14d33b,214.823,3.9,direct_BLS_archived_release_table,,,,206.686,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,3.936889774828,-0.036889774828,high,high,2008-05-14T08:30:00-04:00,2008-05-15,2008-05-15,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-05,2008-06-13,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_06132008.htm,a0ceb0458504489008302dda6d12e48267cfebdb6f78fcbc84383085b225df6e,216.632,4.2,direct_BLS_archived_release_table,,,,207.949,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,4.175543041804,0.024456958196,high,high,2008-06-13T08:30:00-04:00,2008-06-16,2008-06-16,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-06,2008-07-16,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_07162008.htm,5df72afff3ab0521cb854357337e11fc9f519e17895ee2c2d480f2cc66ac65d9,218.815,5.0,direct_BLS_archived_release_table,,,,208.352,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,5.021790047612,-0.021790047612,high,high,2008-07-16T08:30:00-04:00,2008-07-17,2008-07-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-07,2008-08-14,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_08142008.htm,a2684fded23f91f71e1619014c9f9d56998d7b94bb38e8e5bf23a9d974075a29,219.964,5.6,direct_BLS_archived_release_table,,,,208.299,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,5.600122900254,-0.000122900254,high,high,2008-08-14T08:30:00-04:00,2008-08-15,2008-08-15,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-08,2008-09-16,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_09162008.htm,775e70e4bf1396cf14c356bde65c0929c5bcf5e5129e4cd669eff11269985cf3,219.086,5.4,direct_BLS_archived_release_table,,,,207.917,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,5.371855115262,0.028144884738,high,high,2008-09-16T08:30:00-04:00,2008-09-17,2008-09-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-09,2008-10-16,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_10162008.htm,35895a6e781bf8b479d48612130222b8ea2ca221614a53aa171f692cc67bc800,218.783,4.9,direct_BLS_archived_release_table,,,,208.490,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,4.936927430572,-0.036927430572,high,high,2008-10-16T08:30:00-04:00,2008-10-17,2008-10-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-10,2008-11-19,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_11192008.htm,03d25870904b569fd833f519bfe782b8e1d099ef95ec09663cd38558a7089ac7,216.573,3.7,direct_BLS_archived_release_table,,,,208.936,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,3.655186277137,0.044813722863,high,high,2008-11-19T08:30:00-05:00,2008-11-20,2008-11-20,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-11,2008-12-16,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_12162008.htm,ce73007f79e8f77d938e0252b11b008e151ca2d34eb3e8ef9d42d8244e01f134,212.425,1.1,direct_BLS_archived_release_table,,,,210.177,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,1.069574691807,0.030425308193,low,low,2008-12-16T08:30:00-05:00,2008-12-17,2008-12-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2008-12,2009-01-16,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_01162009.htm,df059176bde1dc105c602d969a56cab229485a923fc1a0700a1b3e41b5c8d7b9,210.228,0.1,direct_BLS_archived_release_table,,,,210.036,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,0.091412900646,0.008587099354,low,low,2009-01-16T08:30:00-05:00,2009-01-20,2009-01-20,rounding_only_difference,audited_no_regime_change,true,false,false,false
2009-01,2009-02-20,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_02202009.htm,0a6f6ff5e33b0770bb769338a298db7ae8835c544580d1e3e82d2e207a85a583,211.143,0.0,direct_BLS_archived_release_table,,,,211.080,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,0.029846503695,-0.029846503695,low,low,2009-02-20T08:30:00-05:00,2009-02-23,2009-02-23,rounding_only_difference,audited_no_regime_change,true,false,false,false
2009-02,2009-03-18,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_03182009.htm,ecc4e42cbd639178f13b74649df9d05f15b92921b124f261189f8f4b4fca5aba,212.193,0.2,direct_BLS_archived_release_table,,,,211.693,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,0.236191088038,-0.036191088038,low,low,2009-03-18T08:30:00-04:00,2009-03-19,2009-03-19,rounding_only_difference,audited_no_regime_change,true,false,false,false
2009-03,2009-04-15,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_04152009.htm,c5d20f6ad50e5afb5513cda9cdbed9e0d3bc1d423fd719367948b6c0c3297949,212.709,-0.4,direct_BLS_archived_release_table,,,,213.528,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,-0.383556254917,-0.016443745083,low,low,2009-04-15T08:30:00-04:00,2009-04-16,2009-04-16,rounding_only_difference,audited_no_regime_change,true,false,false,false
2009-04,2009-05-15,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_05152009.htm,e2726b974383932270a5ffa7d31047423951cacd67247fd2ca6cb70ee8e299a7,213.240,-0.7,direct_BLS_archived_release_table,,,,214.823,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,-0.736885715217,0.036885715217,low,low,2009-05-15T08:30:00-04:00,2009-05-18,2009-05-18,rounding_only_difference,audited_no_regime_change,true,false,false,false
2009-05,2009-06-17,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_06172009.htm,8f67c339baf38cfb62ac6cadbcc7d88ba20efd03e6dee5eff235078bc57e1172,213.856,-1.3,direct_BLS_archived_release_table,,,,216.632,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,-1.281435798959,-0.018564201041,low,low,2009-06-17T08:30:00-04:00,2009-06-18,2009-06-18,rounding_only_difference,audited_no_regime_change,true,false,false,false
2009-06,2009-07-15,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_07152009.htm,d0e9b8fb4587d2737853bcd8a54f0bdd66ee6d393d97a30f1e13d1aa1730fa32,215.693,-1.4,direct_BLS_archived_release_table,,,,218.815,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,-1.426776043690,0.026776043690,low,low,2009-07-15T08:30:00-04:00,2009-07-16,2009-07-16,rounding_only_difference,audited_no_regime_change,true,false,false,false
2009-07,2009-08-14,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_08142009.htm,626d65c17fba1a25d3d04f2889700e0ff93c2db8de16c75822466e7cfb85343d,215.351,-2.1,direct_BLS_archived_release_table,,,,219.964,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,-2.097161353676,-0.002838646324,low,low,2009-08-14T08:30:00-04:00,2009-08-17,2009-08-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2009-08,2009-09-16,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_09162009.htm,bc68b5288e0efe00f8bd5876a022a3f1dd577385aa71810381de6ab932b0c606,215.834,-1.5,direct_BLS_archived_release_table,,,,219.086,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,-1.484348611961,-0.015651388039,low,low,2009-09-16T08:30:00-04:00,2009-09-17,2009-09-17,rounding_only_difference,audited_no_regime_change,true,false,false,false
2009-09,2009-10-15,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_10152009.htm,89ceb947fb352a1f2236401af3108172b375662b2f317b539aea7b712e76d48b,215.969,-1.3,direct_BLS_archived_release_table,,,,218.783,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,-1.286205966643,-0.013794033357,low,low,2009-10-15T08:30:00-04:00,2009-10-16,2009-10-16,rounding_only_difference,audited_no_regime_change,true,false,false,false
2009-10,2009-11-18,08:30:00 America/New_York,U.S. Bureau of Labor Statistics archived CPI news release,https://www.bls.gov/news.release/archives/cpi_11182009.htm,c271eac5f276aa578ab30bd16755fa0a8da421f57c873f1f1c698d35037fadfa,216.177,-0.2,direct_BLS_archived_release_table,,,,216.573,prior_year_BLS_archived_release_level_CPI_U_NSA_final_when_released,-0.182848277486,-0.017151722514,low,low,2009-11-18T08:30:00-05:00,2009-11-19,2009-11-19,rounding_only_difference,audited_no_regime_change,true,false,false,false
