id,version,parent_id,lane,strategy_family,status,rules_frozen,notes
SPY_200d_vol_target_12_cap_1_10_v1,v1,SPY_200d_trend_model,compact_challenge,SPY_200d volatility-control diagnostic,exploratory_only,True,Tier 1 diagnostic only; no real margin model and no paper-forward eligibility.
portfolio_spy200d_100_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,incomplete_evidence,True,Baseline portfolio wrapper for SPY_200d; does not alter frozen paper-forward SPY_200d v1.
portfolio_spy200d_80_bil_20_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,incomplete_evidence,True,Fixed 80/20 defensive portfolio diagnostic; not paper-forward active.
portfolio_spy200d_70_bil_30_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,incomplete_evidence,True,Fixed 70/30 defensive portfolio diagnostic; not paper-forward active.
portfolio_spy200d_60_ief_20_bil_20_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,incomplete_evidence,True,Fixed bond defensive portfolio diagnostic; not paper-forward active.
portfolio_spy200d_70_gld_15_bil_15_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,incomplete_evidence,True,Fixed gold defensive portfolio diagnostic; not paper-forward active.
portfolio_spy200d_60_ief_20_gld_10_bil_10_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,incomplete_evidence,True,Fixed multi-asset defensive portfolio diagnostic; not paper-forward active.
portfolio_spy200d_80_ab_20_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,incomplete_evidence,True,Fixed strategy-diversification diagnostic; does not alter frozen A/B control or SPY_200d rows.
portfolio_spy200d_70_ab_20_bil_10_v1,v1,SPY_200d_trend_model,compact_challenge,fixed_weight_portfolio,incomplete_evidence,True,Fixed strategy-diversification diagnostic; does not alter frozen A/B control or SPY_200d rows.
portfolio_spy200d_80_crypto_tsmom_10_bil_10_v1,v1,crypto_time_series_momentum,compact_challenge,fixed_weight_portfolio,exploratory_only,True,Tier 1 exploratory only; not paper-forward ready and not a real-money recommendation.
portfolio_spy200d_70_crypto_tsmom_10_ief_10_bil_10_v1,v1,crypto_time_series_momentum,compact_challenge,fixed_weight_portfolio,exploratory_only,True,Tier 1 exploratory only; not paper-forward ready and not a real-money recommendation.
A_ETF_sector_momentum,v1,current_no_cash_proxy_alpha_AB,etf_research,cross_sectional_momentum,watchlist,True,Can be studied as comparator; current paper-forward version remains frozen.
B_ETF_trend_following,v1,current_no_cash_proxy_alpha_AB,etf_research,trend_following,watchlist,True,Comparator only unless a new version is proposed.
C_swing_trend_pullback,v1,,archive,swing_pullback,rejected,True,Must not be active paper-forward.
D_mean_reversion,v1,,archive,mean_reversion,rejected,True,Must not be active paper-forward.
E_breakout_vcb,v1,,archive,breakout,rejected,True,Must not be active paper-forward.
crypto_time_series_momentum,v1,,crypto_exploratory,time_series_momentum,exploratory_only,True,Exploratory only; no real-money conclusion.
crypto_dual_momentum_cash_filter,v1,,crypto_exploratory,dual_momentum,exploratory_only,True,Exploratory only.
crypto_cross_sectional_momentum,v1,,crypto_exploratory,cross_sectional_momentum,exploratory_only,True,Exploratory only.
crypto_buy_hold_equal_weight,v1,,crypto_exploratory,buy_and_hold,exploratory_only,True,Exploratory benchmark only.
crypto_simulated_leverage_1_5x,v1,crypto_buy_hold_equal_weight,crypto_exploratory,simulated_leverage_diagnostic,too_risky,True,Diagnostic only; not a strategy candidate.
crypto_simulated_leverage_2_0x,v1,crypto_buy_hold_equal_weight,crypto_exploratory,simulated_leverage_diagnostic,too_risky,True,Diagnostic only; not a strategy candidate.
individual_stock_momentum_gate1a,gate1a,,stock_memo,individual_stock_momentum,deferred,True,Implementation remains blocked.
options_directional_gate0_needed,memo_placeholder,,options_memo,directional_options,memo_only,True,Memo-only placeholder.
futures_trend_following_gate0_needed,memo_placeholder,,futures_memo,trend_following,memo_only,True,Memo-only placeholder.
forex_momentum_carry_gate0_needed,memo_placeholder,,forex_memo,momentum_carry,memo_only,True,Memo-only placeholder.
intraday_orb_gate0_needed,memo_placeholder,,intraday_memo,opening_range_breakout,memo_only,True,Memo-only placeholder.
volatility_products_gate0_needed,memo_placeholder,,volatility_memo,volatility,memo_only,True,Memo-only placeholder.
