experiment_id,display_name,standard_or_stress,run_status,stop_enforced_final_equity,max_drawdown_dollars,max_drawdown_pct,any_project_stop_hit,first_project_stop_date,target_300_before_stop,target_400_before_stop,target_600_before_stop,risk_framework_verdict,profit_verdict,notes
SPY_GLD_IEF_dual_momentum_v1,SPY GLD IEF Dual Momentum,standard,completed,3178.702825215407,-3014.183003771257,0.25928446530535393,True,2008-08-11,True,True,True,diagnostic_only,too_risky,predeclared SPY/GLD/IEF dual momentum
SPY_GLD_IEF_dual_momentum_v1,SPY GLD IEF Dual Momentum,stress,completed,3174.0081525857345,-2929.5862642641373,0.2682821086118774,True,2008-08-11,True,True,True,diagnostic_only,too_risky,predeclared SPY/GLD/IEF dual momentum
multi_asset_top2_momentum_v1,Multi-Asset Top 2 Momentum,standard,completed,6360.975144537808,-1739.7623933770938,0.12886265921346307,True,2018-12-20,True,True,True,diagnostic_only,too_risky,predeclared multi-asset top-2 momentum
multi_asset_top2_momentum_v1,Multi-Asset Top 2 Momentum,stress,completed,6231.794840928152,-1679.0696885940379,0.12886265921346304,True,2018-12-20,True,True,True,diagnostic_only,too_risky,predeclared multi-asset top-2 momentum
GLD_SPY_rotation_v1,GLD SPY Rotation,standard,completed,3178.702825215407,-3497.6446152194826,0.22655958360841483,True,2008-08-11,True,True,True,diagnostic_only,too_risky,predeclared GLD/SPY rotation
GLD_SPY_rotation_v1,GLD SPY Rotation,stress,completed,3174.0081525857345,-3452.461510775647,0.2342843722273214,True,2008-08-11,True,True,True,diagnostic_only,too_risky,predeclared GLD/SPY rotation
combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,standard,completed,3050.850792092773,-2536.0611080147864,0.1267293219607233,True,2008-11-12,True,True,True,diagnostic_only,too_risky,predeclared fixed monthly combination account
combo_SPY200d_GLD_50_50_v1,Combo SPY200d GLD 50/50,stress,completed,3026.558867423219,-2414.7506611867357,0.12717114541516292,True,2008-11-12,True,True,True,diagnostic_only,too_risky,predeclared fixed monthly combination account
combo_SPY200d_GLD_BIL_60_30_10_v1,Combo SPY200d GLD BIL 60/30/10,standard,completed,6596.510477017766,-1481.4211003202763,0.09496306191773347,True,2020-03-03,True,True,True,diagnostic_only,too_risky,predeclared fixed monthly combination account
combo_SPY200d_GLD_BIL_60_30_10_v1,Combo SPY200d GLD BIL 60/30/10,stress,completed,6314.837669309871,-1399.2306417593427,0.09551007829872425,True,2020-03-03,True,True,True,diagnostic_only,too_risky,predeclared fixed monthly combination account
combo_SPY200d_crypto_tsmom_90_10_v1,Combo SPY200d Crypto TSMOM 90/10,standard,incomplete_evidence,,,,,,,,,incomplete_evidence,incomplete_evidence,crypto optional row is Tier 1; profit exploration imports no raw crypto data and does not rerun crypto exploration
crypto_time_series_momentum,Crypto Time Series Momentum,standard,incomplete_evidence,,,,,,,,,incomplete_evidence,incomplete_evidence,crypto optional row is Tier 1; profit exploration imports no raw crypto data and does not rerun crypto exploration
crypto_buy_hold_equal_weight,Crypto Buy Hold Equal Weight,standard,incomplete_evidence,,,,,,,,,incomplete_evidence,incomplete_evidence,crypto optional row is Tier 1; profit exploration imports no raw crypto data and does not rerun crypto exploration
individual_stock_momentum,Individual Stock Momentum,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,Gate 1A continue_defer; no survivorship-free data/delisting treatment.
options_directional,Options Directional,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,"No option-chain, bid/ask, IV, Greeks, assignment/exercise, margin, or spread-fill model."
options_premium,Options Premium,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,"No option-chain, margin, assignment, tail-risk, or realistic fill model."
futures_trend_following,Futures Trend Following,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,"No continuous contract, roll, margin, leverage, or gap model."
forex_momentum_carry,Forex Momentum Carry,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,"No spread, financing, leverage, or broker execution model."
intraday_orb,Intraday ORB,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,"Current daily bars cannot model intraday fills, spreads, queue, or stop behavior."
volatility_products,Volatility Products,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,"No product mechanics, decay, roll-yield, path-dependency, or event-risk model."
event_news_momentum,Event News Momentum,standard,blocked_by_gate,,,,,,,,,blocked_by_gate,blocked_by_gate,No point-in-time event timestamps or reliable historical event data.
